46
 N° | PC    Instrucción [RegA|RegB]
----------------------------------
0001|0000   MOV B,120  [0000|0078]
0002|0001   MOV (0),B  [0000|0078]
0003|0002   MOV B,34   [0000|0022]
0004|0003   MOV (1),B  [0000|0022]
0005|0004   MOV B,0    [0000|0000]
0006|0005   MOV (2),B  [0000|0000]
0007|0006   MOV B,255  [0000|00FF]
0008|0007   MOV (3),B  [0000|00FF]
0009|0008   MOV B,0    [0000|0000]
0010|0009   MOV (4),B  [0000|0000]
0011|0010   MOV B,0    [0000|0000]
0012|0011   MOV (5),B  [0000|0000]
0013|0012   MOV B,0    [0000|0000]
0014|0013   MOV (6),B  [0000|0000]
0015|0014   MOV B,0    [0000|0000]
0016|0015   MOV (7),B  [0000|0000]
0017|0016   MOV B,0    [0000|0000]
0018|0017   MOV (8),B  [0000|0000]
0019|0018   MOV B,0    [0000|0000]
0020|0019   MOV (9),B  [0000|0000]
0021|0020   MOV B,0    [0000|0000]
0022|0021   JMP 54     [0000|0000]
0023|0054   JMP 22     [0000|0000]
0024|0022   MOV A,(1)  [0022|0000]
0025|0023   MOV B,(3)  [0022|00FF]
0026|0024   ADD A,B    [0021|00FF]
0027|0025   JCR 36     [0021|00FF]
0028|0036   MOV (8),A  [0021|00FF]
0029|0037   MOV B,(0)  [0021|0078]
0030|0038   MOV A,(2)  [0000|0078]
0031|0039   ADD B,A    [0000|0078]
0032|0040   INC B      [0000|0079]
0033|0041   MOV A,B    [0079|0079]
0034|0042   JMP 31     [0079|0079]
0035|0031   MOV (9),A  [0079|0079]
0036|0032   MOV B,128  [0079|0080]
0037|0033   AND A,B    [0000|0080]
0038|0034   JEQ 43     [0000|0080]
0039|0043   MOV B,(8)  [0000|0021]
0040|0044   MOV (5),B  [0000|0021]
0041|0045   MOV A,(9)  [0079|0021]
0042|0046   MOV (4),A  [0079|0021]
0043|0047   JMP 53     [0079|0021]
0044|0053   JMP 53     [0079|0021]
